form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
8-K,2018-01-18,2018-01-15,5.02,0001104659-18-002858,https://www.sec.gov/Archives/edgar/data/872589/000110465918002858/a18-3387_18k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465918002858/
8-K,2018-01-08,2018-01-07,"1.01,2.02,7.01,9.01",0001104659-18-001100,https://www.sec.gov/Archives/edgar/data/872589/000110465918001100/a18-2403_18k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465918001100/
8-K,2018-01-02,2018-01-02,5.02,0001104659-18-000220,https://www.sec.gov/Archives/edgar/data/872589/000110465918000220/a18-2060_18k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465918000220/
10-Q,2017-11-08,2017-09-30,,0001532176-17-000034,https://www.sec.gov/Archives/edgar/data/872589/000153217617000034/regn-093017x10q.htm,https://www.sec.gov/Archives/edgar/data/872589/000153217617000034/
8-K,2017-11-08,2017-11-08,"2.02,9.01",0001532176-17-000033,https://www.sec.gov/Archives/edgar/data/872589/000153217617000033/form8-kq32017.htm,https://www.sec.gov/Archives/edgar/data/872589/000153217617000033/
10-Q,2017-08-03,2017-06-30,,0001532176-17-000027,https://www.sec.gov/Archives/edgar/data/872589/000153217617000027/regn-063017x10q.htm,https://www.sec.gov/Archives/edgar/data/872589/000153217617000027/
8-K,2017-08-03,2017-08-03,"2.02,9.01",0001532176-17-000025,https://www.sec.gov/Archives/edgar/data/872589/000153217617000025/form8-kq22017.htm,https://www.sec.gov/Archives/edgar/data/872589/000153217617000025/
8-K,2017-06-14,2017-06-09,"5.02,5.07",0001104659-17-039157,https://www.sec.gov/Archives/edgar/data/872589/000110465917039157/a17-15192_18k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465917039157/
10-Q,2017-05-04,2017-03-31,,0001532176-17-000017,https://www.sec.gov/Archives/edgar/data/872589/000153217617000017/regn-033117x10q.htm,https://www.sec.gov/Archives/edgar/data/872589/000153217617000017/
8-K,2017-05-04,2017-05-04,"2.02,9.01",0001532176-17-000015,https://www.sec.gov/Archives/edgar/data/872589/000153217617000015/form8-kq12017.htm,https://www.sec.gov/Archives/edgar/data/872589/000153217617000015/
