form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
8-K,2019-04-30,2019-04-30,"2.02,2.05,9.01",0001104659-19-024842,https://www.sec.gov/Archives/edgar/data/310158/000110465919024842/a19-8996_18k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465919024842/
8-K,2019-03-07,2019-03-07,"8.01,9.01",0001193125-19-067302,https://www.sec.gov/Archives/edgar/data/310158/000119312519067302/d720057d8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000119312519067302/
424B5,2019-03-06,,,0001193125-19-065743,https://www.sec.gov/Archives/edgar/data/310158/000119312519065743/d717598d424b5.htm,https://www.sec.gov/Archives/edgar/data/310158/000119312519065743/
424B5,2019-03-05,,,0001193125-19-063275,https://www.sec.gov/Archives/edgar/data/310158/000119312519063275/d717598d424b5.htm,https://www.sec.gov/Archives/edgar/data/310158/000119312519063275/
10-K,2019-02-27,2018-12-31,,0000310158-19-000014,https://www.sec.gov/Archives/edgar/data/310158/000031015819000014/mrk1231201810k.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015819000014/
8-K,2019-02-01,2019-02-01,"2.02,9.01",0001104659-19-004932,https://www.sec.gov/Archives/edgar/data/310158/000110465919004932/a19-3795_18k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465919004932/
8-K,2019-01-30,2019-01-29,"5.02,9.01",0000310158-19-000007,https://www.sec.gov/Archives/edgar/data/310158/000031015819000007/a8-kx2019_01x29item502.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015819000007/
8-K,2018-12-10,2018-12-10,5.02,0000310158-18-000043,https://www.sec.gov/Archives/edgar/data/310158/000031015818000043/a8-kx2018_12x10item502resi.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015818000043/
10-Q,2018-11-06,2018-09-30,,0000310158-18-000039,https://www.sec.gov/Archives/edgar/data/310158/000031015818000039/mrk0930201810q.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015818000039/
8-K,2018-10-25,2018-10-25,"2.02,8.01,9.01",0001104659-18-063797,https://www.sec.gov/Archives/edgar/data/310158/000110465918063797/a18-37128_18k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465918063797/
8-K,2018-10-04,2018-10-02,5.02,0001104659-18-060584,https://www.sec.gov/Archives/edgar/data/310158/000110465918060584/a18-36185_38k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465918060584/
8-K,2018-09-27,2018-09-25,"5.02,9.01",0001104659-18-059130,https://www.sec.gov/Archives/edgar/data/310158/000110465918059130/a18-36044_18k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465918059130/
10-Q,2018-08-07,2018-06-30,,0000310158-18-000034,https://www.sec.gov/Archives/edgar/data/310158/000031015818000034/mrk0630201810q.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015818000034/
8-K,2018-07-27,2018-07-27,"2.02,9.01",0001104659-18-047535,https://www.sec.gov/Archives/edgar/data/310158/000110465918047535/a18-17779_18k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465918047535/
8-K,2018-05-24,2018-05-24,5.07,0000310158-18-000016,https://www.sec.gov/Archives/edgar/data/310158/000031015818000016/form8-kannualmeetingvotere.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015818000016/
10-Q,2018-05-08,2018-03-31,,0000310158-18-000011,https://www.sec.gov/Archives/edgar/data/310158/000031015818000011/mrk0331201810q.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015818000011/
