form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
6-K,2019-08-19,2019-08-19,,0001654954-19-009739,https://www.sec.gov/Archives/edgar/data/901832/000165495419009739/a4118j.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419009739/
6-K,2019-08-14,2019-08-14,,0001654954-19-009441,https://www.sec.gov/Archives/edgar/data/901832/000165495419009441/a9925i.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419009441/
6-K,2019-08-14,2019-08-14,,0001654954-19-009438,https://www.sec.gov/Archives/edgar/data/901832/000165495419009438/a9933i.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419009438/
6-K,2019-08-09,2019-08-09,,0001654954-19-009099,https://www.sec.gov/Archives/edgar/data/901832/000165495419009099/a5535iamendment.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419009099/
6-K,2019-08-07,2019-08-07,,0001654954-19-008934,https://www.sec.gov/Archives/edgar/data/901832/000165495419008934/a2083i.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419008934/
6-K,2019-08-05,2019-08-05,,0001654954-19-008795,https://www.sec.gov/Archives/edgar/data/901832/000165495419008795/a8660h.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419008795/
6-K,2019-08-01,2019-08-01,,0001654954-19-008729,https://www.sec.gov/Archives/edgar/data/901832/000165495419008729/a6173h.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419008729/
6-K,2019-07-25,2019-06-30,,0001104659-19-041809,https://www.sec.gov/Archives/edgar/data/901832/000110465919041809/a19-12893_16k.htm,https://www.sec.gov/Archives/edgar/data/901832/000110465919041809/
6-K,2019-07-15,2019-07-15,,0001654954-19-008237,https://www.sec.gov/Archives/edgar/data/901832/000165495419008237/a4976f.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419008237/
6-K,2019-07-12,2019-07-12,,0001654954-19-008191,https://www.sec.gov/Archives/edgar/data/901832/000165495419008191/a3075f.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419008191/
6-K,2019-07-01,2019-07-01,,0001654954-19-007830,https://www.sec.gov/Archives/edgar/data/901832/000165495419007830/a9357d.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419007830/
6-K,2019-07-01,2019-07-01,,0001654954-19-007829,https://www.sec.gov/Archives/edgar/data/901832/000165495419007829/a0712e.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419007829/
6-K,2019-07-01,2019-07-01,,0001654954-19-007826,https://www.sec.gov/Archives/edgar/data/901832/000165495419007826/a9327d.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419007826/
6-K,2019-06-27,2019-06-27,,0001654954-19-007708,https://www.sec.gov/Archives/edgar/data/901832/000165495419007708/a5770d.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419007708/
6-K,2019-06-19,2019-06-19,,0001654954-19-007455,https://www.sec.gov/Archives/edgar/data/901832/000165495419007455/a7213c.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419007455/
6-K,2019-06-19,2019-06-19,,0001654954-19-007454,https://www.sec.gov/Archives/edgar/data/901832/000165495419007454/a6835c.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419007454/
6-K,2019-06-19,2019-06-19,,0001654954-19-007452,https://www.sec.gov/Archives/edgar/data/901832/000165495419007452/a6830c.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419007452/
6-K,2019-06-18,2019-06-18,,0001654954-19-007417,https://www.sec.gov/Archives/edgar/data/901832/000165495419007417/a5409c.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495419007417/
