asset_name,name_variants_merged,sponsor(s),trial_count,phases_seen,statuses_seen,earliest_trial_start,most_recent_update,nct_ids
FX006,FX006 10 mg; FX006 16 mg; FX006 32 mg; FX006 40 mg; FX006 60 mg,"Pacira Pharmaceuticals, Inc",19,PHASE2; PHASE3,COMPLETED; TERMINATED,2012-06,2024-01-24,NCT01487200; NCT01487200; NCT01487200; NCT04160091; NCT04065074; NCT01487161; NCT02468583; NCT03529942; NCT03378076; NCT02116972; NCT02116972; NCT02637323; NCT03046446; NCT02762370; NCT03793010; NCT03382262; NCT02003365; NCT02003365; NCT02357459
TCA IR 40,,"Pacira Pharmaceuticals, Inc",3,PHASE2; PHASE3,COMPLETED,2012-07,2024-01-24,NCT01487200; NCT02637323; NCT02357459
TCA IR,TCA IR 40 mg,"Pacira Pharmaceuticals, Inc",4,PHASE2,COMPLETED; TERMINATED,2012-06,2024-01-24,NCT01487161; NCT02468583; NCT02762370; NCT02003365
TAcs 40 mg,,"Pacira Pharmaceuticals, Inc",2,PHASE2,COMPLETED,2017-12-06,2024-01-24,NCT03378076; NCT03382262
FX005,,"Pacira Pharmaceuticals, Inc",1,"PHASE1,PHASE2",COMPLETED,2010-12,2024-01-24,NCT01291914
Micronized dHACM,Micronized DHACM 100 mg; Micronized DHACM 40 mg,"MiMedx Group, Inc.",3,PHASE2,COMPLETED; TERMINATED,2018-03-27,2024-01-17,NCT05796765; NCT05796765; NCT03485157
Human umbilical cord-derived mesenchymal stem cells (hUC-MSCs),,Cytopeutics Sdn. Bhd.,1,PHASE2,COMPLETED,2020-07-01,2024-01-03,NCT05016011
UMC119-06-05,,"Meridigen Biotech Co., Ltd.",1,PHASE1,UNKNOWN,2022-09-15,2023-12-04,NCT04893174
diacerein,Diacerein,Laboratoires NEGMA; TRB Chemedica International SA,3,PHASE3; PHASE4,COMPLETED,1993-03,2023-12-01,NCT00445276; NCT00451360; NCT02688400
LY3016859,,Eli Lilly and Company,1,PHASE2,COMPLETED,2020-07-01,2023-11-14,NCT04456686
LY3556050,,Eli Lilly and Company,1,PHASE2,COMPLETED,2020-11-12,2023-11-02,NCT04627038
Fasinumab,Fasinumab AI; Fasinumab PFS,Regeneron Pharmaceuticals,8,PHASE1; PHASE2; PHASE3,COMPLETED; TERMINATED,2016-02-17,2023-10-17,NCT03491904; NCT03491904; NCT03949673; NCT03691974; NCT02683239; NCT03285646; NCT03161093; NCT03304379
HRF2105 patch,,"Jiangsu HengRui Medicine Co., Ltd.",1,PHASE2,UNKNOWN,2023-10,2023-09-21,NCT06047483
Loxoprofen patch,,"Jiangsu HengRui Medicine Co., Ltd.",1,PHASE2,UNKNOWN,2023-10,2023-09-21,NCT06047483
SL-1002,,Saol Therapeutics Inc,1,PHASE2,UNKNOWN,2022-06-13,2023-08-29,NCT05470608
Cingal,,"Anika Therapeutics, Inc.",6,PHASE3,COMPLETED,2015-02,2023-08-09,NCT02381652; NCT02381652; NCT02381652; NCT04231318; NCT03191903; NCT03390036
Triamcinolone Hexacetonide,Triamcinolone Hexacetonide (TH),"Anika Therapeutics, Inc.",3,PHASE3,COMPLETED,2017-05-25,2023-08-09,NCT04231318; NCT03191903; NCT03390036
Mesenchymal progenitor cells,,Shanghai AbelZeta Ltd.,3,PHASE1; PHASE2,COMPLETED,2013-11,2023-08-01,NCT02641860; NCT02162693; NCT04208646
No mesenchymal progenitor cells,,Shanghai AbelZeta Ltd.,1,PHASE2,COMPLETED,2020-05-16,2023-08-01,NCT04208646
S (+) - Ibuprofen,,Apsen Farmaceutica S.A.,1,PHASE2,COMPLETED,2022-08-05,2023-07-17,NCT04637529
Ibuvix® - ibuprofen,,Apsen Farmaceutica S.A.,1,PHASE2,COMPLETED,2022-08-05,2023-07-17,NCT04637529
FURESTEM-OA Kit Inj.,,"Kang Stem Biotech Co., Ltd.",1,"PHASE1,PHASE2",UNKNOWN,2023-07-06,2023-07-14,NCT05944627
SKCPT,,"SK Chemicals Co., Ltd.",1,PHASE3,COMPLETED,2021-01-28,2023-07-06,NCT05930080
Sustained Acoustic Device with 1% Diclofenac patch,,"ZetrOZ, Inc.",1,PHASE1,COMPLETED,2019-09-01,2023-06-27,NCT04391842
GXCPC1,,"Gwo Xi Stem Cell Applied Technology Co., Ltd.",1,"PHASE1,PHASE2",COMPLETED,2019-12-01,2023-06-06,NCT03943576
XG004,,Xgene Pharmaceutical Group,1,PHASE1,COMPLETED,2022-06-07,2023-05-09,NCT05454020
Celltex- AdMSCs,,Celltex Therapeutics Corporation,1,PHASE2,UNKNOWN,2023-09-25,2023-04-18,NCT04448106
STEM-OA,,StemMedical A/S,1,PHASE1,UNKNOWN,2023-11-01,2023-03-29,NCT05789719
CG100649,,"CrystalGenomics, Inc.",3,PHASE2; PHASE3,COMPLETED; UNKNOWN,2007-10,2023-02-15,NCT01765296; NCT01341405; NCT00530452
Cosamin DS®,Cosamin DS® (Nutramax),Ache Laboratorios Farmaceuticos S.A.; Eurofarma Laboratorios S.A.,2,PHASE3,COMPLETED,2009-02,2023-02-08,NCT02010918; NCT00955552
Glucosamine sulphate and chondroitin sulphate association,,Eurofarma Laboratorios S.A.,1,PHASE3,COMPLETED,2010-08,2023-02-08,NCT00955552
Resiniferatoxin,,"Sorrento Therapeutics, Inc.",4,PHASE1; PHASE2; PHASE3,COMPLETED; UNKNOWN; WITHDRAWN,2018-07-12,2023-01-17,NCT03542838; NCT04044742; NCT04386980; NCT04885972
10 mg of Hydrocodone Bitartrate Extended Release (HC-ER),20 mg of Hydrocodone Bitartrate Extended Release (HC-ER),"Zogenix, Inc.",2,PHASE2,COMPLETED,2002-09,2022-11-10,NCT02222740; NCT02222740
Adipose-Derived Mesenchymal Stem Cells,,Steminent Biotherapeutics Inc.,1,PHASE1,COMPLETED,2015-06,2022-10-28,NCT02544802
Ampion,,Ampio Pharmaceuticals. Inc.,1,PHASE3,TERMINATED,2019-06-24,2022-10-05,NCT03988023
4 mL injection of AMPION™,,Ampio Pharmaceuticals. Inc.,2,PHASE3,COMPLETED; TERMINATED,2015-09,2022-10-03,NCT03349645; NCT02556710
4 mL injection of Ampion,10 mL Injection of Ampion,Ampio Pharmaceuticals. Inc.,6,"PHASE1,PHASE2; PHASE2; PHASE3",COMPLETED,2013-03-29,2022-09-30,NCT02184156; NCT01839331; NCT01839331; NCT02024529; NCT03182686; NCT02242435
4 mL Injection of Placebo,10 mL Injection of Placebo; 4 mL injection of Placebo,Ampio Pharmaceuticals. Inc.,7,"PHASE1,PHASE2; PHASE2; PHASE3",COMPLETED,2013-03-29,2022-09-30,NCT02184156; NCT01839331; NCT01839331; NCT02024529; NCT03182686; NCT02556710; NCT02242435
Platelet Rich Plasma,,Exactech,1,PHASE4,COMPLETED,2008-12,2022-09-01,NCT00826098
Botulinum toxin,,Galderma R&D,1,PHASE1,COMPLETED,2014-03,2022-08-25,NCT02139319
HP-5000 Topical Patch,,"Noven Pharmaceuticals, Inc.",1,PHASE1,COMPLETED,2021-06-03,2022-08-23,NCT04882319
HP-5000 Placebo Patch,,"Noven Pharmaceuticals, Inc.",1,PHASE1,COMPLETED,2021-06-03,2022-08-23,NCT04882319
CNTX-4975,CNTX-4975-05; CNTX-4975-05 (trans-capsaicin),Centrexion Therapeutics,9,PHASE1; PHASE2; PHASE3,COMPLETED,2007-08,2022-07-26,NCT02558439; NCT00667654; NCT03429049; NCT03576508; NCT03472677; NCT03472677; NCT03472677; NCT03660943; NCT03661996
Umbilical Cord-derived Wharton's Jelly,,BioIntegrate,2,"EARLY_PHASE1; PHASE1,PHASE2",UNKNOWN,2023-01-01,2022-07-21,NCT04719793; NCT04711304
Cell-free Stem Cell-derived Extract Formulation (CCM),,General Therapeutics,1,EARLY_PHASE1,UNKNOWN,2023-01-01,2022-07-21,NCT04971798
ATB-346 mid-dose,ATB-346 low dose,Antibe Therapeutics Inc.,2,PHASE2,COMPLETED,2019-03-29,2022-07-21,NCT03978208; NCT03978208
ATB-346 standard dose,,Antibe Therapeutics Inc.,1,PHASE2,COMPLETED,2019-03-29,2022-07-21,NCT03978208
PTP-001,,Bioventus LLC,1,PHASE2,ACTIVE_NOT_RECRUITING,2021-09-30,2022-07-19,NCT05100225
Regenexx SD® procedure,,"Regenexx, LLC",1,PHASE3,COMPLETED,2015-09-08,2022-07-08,NCT02848027
YYC301-1 & YYC301-2 & YYC301-3,,"Yooyoung Pharmaceutical Co., Ltd.",1,PHASE3,UNKNOWN,2021-11-11,2022-05-05,NCT05362851
YYC301 placebo & Celecoxib 200mg,,"Yooyoung Pharmaceutical Co., Ltd.",1,PHASE3,UNKNOWN,2021-11-11,2022-05-05,NCT05362851
glucosamine sulphate 1500mg and meloxicam 15mg,,Eurofarma Laboratorios S.A.,1,PHASE3,WITHDRAWN,2019-01,2022-04-18,NCT03936192
GZ389988,,"Genzyme, a Sanofi Company",2,PHASE1; PHASE2,COMPLETED,2015-04,2022-04-13,NCT02845271; NCT02424942
acetaminophen or paracetamol,,"Genzyme, a Sanofi Company",1,PHASE2,COMPLETED,2016-07-21,2022-04-13,NCT02845271
fixed combination of paracetamol + codeine,,"Genzyme, a Sanofi Company",1,PHASE2,COMPLETED,2016-07-21,2022-04-13,NCT02845271
fixed combination of paracetamol + tramadol hydrochloride,,"Genzyme, a Sanofi Company",1,PHASE2,COMPLETED,2016-07-21,2022-04-13,NCT02845271
Lidocaine without epinephrine,,Centrexion Therapeutics,1,PHASE3,COMPLETED,2018-09-18,2022-03-09,NCT03661996
Voltaren® Gel (Diclofenac Sodium Topical Gel) 1%,,Mylan Pharmaceuticals Private Limited,1,PHASE3,COMPLETED,2017-05-24,2022-03-03,NCT03172780
JTA-004,,Bone Therapeutics S.A,1,PHASE3,COMPLETED,2020-03-10,2022-03-02,NCT04333160
etorocoxib,,Organon and Co,1,,COMPLETED,2012-06,2022-02-09,NCT01572675
DW1809,DW1809-1,"Daewon Pharmaceutical Co., Ltd.",3,PHASE1,COMPLETED,2020-08-13,2022-01-31,NCT05214677; NCT05214677; NCT05214690
DW1809-T2,,"Daewon Pharmaceutical Co., Ltd.",1,PHASE1,COMPLETED,2020-08-13,2022-01-31,NCT05214690
UBX0101,,"Unity Biotechnology, Inc.",4,PHASE1; PHASE2,COMPLETED; TERMINATED,2018-05-16,2021-12-29,NCT04129944; NCT04229225; NCT04349956; NCT03513016
Diclofenac Sodium Active Topical Patch 1,,"Noven Pharmaceuticals, Inc.",1,PHASE2,COMPLETED,2017-09-07,2021-12-23,NCT03277066
Diclofenac Sodium Active Topical Patch 2,,"Noven Pharmaceuticals, Inc.",1,PHASE2,COMPLETED,2017-09-07,2021-12-23,NCT03277066
Biological: PTP-001,,Bioventus LLC,1,PHASE1,UNKNOWN,2021-02-26,2021-12-22,NCT04632966
JTA-004 intra-articular injection,,Bone Therapeutics S.A,1,"PHASE2,PHASE3",COMPLETED,2016-02,2021-12-06,NCT02740231
APPA,,AKL Research and Development,1,PHASE2,COMPLETED,2020-09-09,2021-11-17,NCT04657926
TV-45070,,"Teva Branded Pharmaceutical Products R&D, Inc.",1,PHASE2,COMPLETED,2014-04-14,2021-11-09,NCT02068599
SI-613,,Seikagaku Corporation,1,PHASE2,COMPLETED,2017-10-19,2021-11-04,NCT03209362
Adalimumab 40 mg,,CARE ARTHRITIS LTD.,1,PHASE2,COMPLETED,2015-03,2021-10-27,NCT02471118
"Theraflex, BAY 874017",,Bayer,1,,COMPLETED,2017-11-20,2021-10-14,NCT03330288
PK101,PK101-002,"PMG Pharm Co., Ltd",2,PHASE3,UNKNOWN,2021-05-20,2021-09-22,NCT04858659; NCT04858659
PK101 placebo,,"PMG Pharm Co., Ltd",1,PHASE3,UNKNOWN,2021-05-20,2021-09-22,NCT04858659
PK101-002 placebo,,"PMG Pharm Co., Ltd",1,PHASE3,UNKNOWN,2021-05-20,2021-09-22,NCT04858659
Leukocyte-poor platelet rich plasma,,Regenerative Orthopedics and Sports Medicine,1,PHASE1,UNKNOWN,2021-08-25,2021-09-09,NCT04241354
Esflurbiprofen,,"Taisho Pharmaceutical Co., Ltd.",1,PHASE3,COMPLETED,2018-02-05,2021-08-20,NCT03434197
Diclofenac diethylamine,,"Taisho Pharmaceutical Co., Ltd.",1,PHASE3,COMPLETED,2018-02-05,2021-08-20,NCT03434197
Synvisc-One,,"Genzyme, a Sanofi Company; Nature Cell Co. Ltd.",2,PHASE2; PHASE4,COMPLETED,2010-02,2021-08-10,NCT02389452; NCT02674399
CBD/CBN,,Pure Green,1,PHASE2,UNKNOWN,2021-07-29,2021-08-06,NCT04992962
CBD/THC,,Pure Green,1,PHASE2,UNKNOWN,2021-07-29,2021-08-06,NCT04992962
NKTR-181,,Nektar Therapeutics,1,PHASE2,COMPLETED,2012-06,2021-08-02,NCT01619839
GLPG1972,GLPG1972 600 mg oral solution fasted; GLPG1972 600 mg oral tablet fasted; GLPG1972 600 mg oral tablet fed; GLPG1972 cohort 1; GLPG1972 cohort 2; GLPG1972 cohort 3,Lakefront Biotherapeutics NV,7,PHASE1; PHASE2,COMPLETED,2016-07,2021-07-28,NCT03595618; NCT03311009; NCT03311009; NCT03311009; NCT02851485; NCT02851485; NCT02851485
Lopain,,Grünenthal GmbH,1,PHASE1,COMPLETED,2016-04,2021-07-16,NCT02566564
Oxycodone CR,Oxycodone CR (20 to 50 mg twice daily); Oxycodone CR (standard pain medication); oxycodone CR,"Cubist Pharmaceuticals LLC, a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA); Grünenthal GmbH; Johnson & Johnson Pharmaceutical Research & Development, L.L.C.; Tris Pharma, Inc.",6,PHASE2; PHASE3,COMPLETED; TERMINATED,2006-11,2021-07-15,NCT00979953; NCT00361504; NCT01094262; NCT00486811; NCT01709214; NCT00784277
GRT6005,,"Tris Pharma, Inc.",3,PHASE2,COMPLETED,2011-05,2021-07-15,NCT01357837; NCT01357837; NCT01357837
Cebranopadol (GRT6005) Low-Dose Range,Cebranopadol (GRT6005) High-Dose Range,"Tris Pharma, Inc.",2,PHASE2,COMPLETED,2012-12-04,2021-07-15,NCT01709214; NCT01709214
PF-04136309,,Pfizer,1,PHASE2,COMPLETED,2008-08-05,2021-07-13,NCT00689273
AlloGen Liquid,,"VIVEX Biologics, Inc.",1,PHASE1,WITHDRAWN,2021-06-01,2021-07-08,NCT04835389
REGN5069,,Regeneron Pharmaceuticals,1,PHASE2,TERMINATED,2019-05-21,2021-07-01,NCT03956550
Investigational medical product (IMP) administered in parent study,Investigational Medical Product (IMP) administered in parent study,Pfizer,2,PHASE3,COMPLETED,2016-08-23,2021-06-25,NCT02674386; NCT03031938
NSAID,,Boehringer Ingelheim; Pfizer,5,PHASE3,COMPLETED; TERMINATED,1998-10,2021-06-24,NCT02528188; NCT02183064; NCT00809354; NCT00809354; NCT00809354
tanezumab,PF-04383119 (tanezumab); Tanezumab; Tanezumab 10 mg; Tanezumab 2.5 mg; Tanezumab 2.5mg/5mg; Tanezumab 5 mg; Tanezumab IV; Tanezumab SC; tanezumab 10 mg; tanezumab 5 mg,Pfizer,49,PHASE1; PHASE2; PHASE3,COMPLETED; TERMINATED,2008-06-06,2021-06-24,NCT02528188; NCT02528188; NCT00960804; NCT00960804; NCT01089725; NCT01089725; NCT01089725; NCT01089725; NCT00733902; NCT00733902; NCT00733902; NCT00863304; NCT00863304; NCT01127893; NCT01127893; NCT01127893; NCT01030640; NCT00994890; NCT00994890; NCT00994890; NCT00863772; NCT00863772; NCT02709486; NCT02709486; NCT00830063; NCT00830063; NCT00809783; NCT00809783; NCT00809783; NCT00669409; NCT00669409; NCT00669409; NCT00669409; NCT00669409; NCT00669409; NCT00744471; NCT00744471; NCT00744471; NCT02697773; NCT02697773; NCT00809354; NCT00809354; NCT00809354; NCT00809354; NCT00864097; NCT00864097; NCT00864097; NCT00985621; NCT00985621
YYD302 3ml,YYD302 2ml,"Yooyoung Pharmaceutical Co., Ltd.",3,"PHASE1,PHASE2; PHASE3",COMPLETED,2016-11,2021-05-10,NCT02965495; NCT02965495; NCT03561779
Active comparator: Synovian Inj.,,"Yooyoung Pharmaceutical Co., Ltd.",1,PHASE3,COMPLETED,2018-02-21,2021-05-10,NCT03561779
MEDI7352 for IV infusion,,AstraZeneca,1,PHASE1,COMPLETED,2015-11-17,2021-04-15,NCT02508155
MEDI7352 for Subcutaneous Injection,,AstraZeneca,1,PHASE1,COMPLETED,2015-11-17,2021-04-15,NCT02508155
DA-5202 10mg,DA-5202 20mg,"Dong-A ST Co., Ltd.",2,PHASE2,COMPLETED,2014-12-23,2021-04-14,NCT02554240; NCT02554240
Na Hyaluronate 20mg,,"Dong-A ST Co., Ltd.",1,PHASE2,COMPLETED,2014-12-23,2021-04-14,NCT02554240
Chondroitin 4&6 sulfate (Condrosulf),,IBSA Institut Biochimique SA,1,PHASE3,COMPLETED,2005-06,2021-03-04,NCT00291499
Any commercially available NSAID with the indication for osteoarthritis,,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,1,PHASE4,COMPLETED,2006-10,2021-03-03,NCT00373685
Diclofenac + Omeprazole,,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,1,PHASE4,COMPLETED,2005-10,2021-03-03,NCT00141102
celecoxib reference formulation,,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,1,PHASE1,COMPLETED,2009-01,2021-02-02,NCT00813241
celecoxib test formulation A1,,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,1,PHASE1,COMPLETED,2009-01,2021-02-02,NCT00813241
celecoxib test formulation B2,,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,1,PHASE1,COMPLETED,2009-01,2021-02-02,NCT00813241
celecoxib test formulation C1,,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,1,PHASE1,COMPLETED,2009-01,2021-02-02,NCT00813241
RN624 (PF-04383119),,Pfizer,6,PHASE2,COMPLETED,2006-03,2021-02-02,NCT00399490; NCT00394563; NCT00394563; NCT00394563; NCT00394563; NCT00394563
Autologous Adipose Tissue derived MSCs 1x10^8cells/3ml,,R-Bio,1,NA,COMPLETED,2016-11-02,2021-01-29,NCT03000712
GSK3196165,,GlaxoSmithKline,1,PHASE2,COMPLETED,2016-03-17,2021-01-11,NCT02683785
A: OLP-1002,,OliPass Australia Pty Ltd,1,PHASE1,COMPLETED,2020-06-03,2020-12-24,NCT04677933
B: OLP-1002,,OliPass Australia Pty Ltd,1,PHASE1,COMPLETED,2020-06-03,2020-12-24,NCT04677933
C: Placebo,,OliPass Australia Pty Ltd,1,PHASE1,COMPLETED,2020-06-03,2020-12-24,NCT04677933
CR845 5 mg,CR845 0.25 mg; CR845 0.50 mg; CR845 1 mg; CR845 tablet 1 mg; CR845 tablet 2.5 mg; CR845 tablet 5 mg,"Cara Therapeutics, Inc.",7,PHASE2,COMPLETED,2015-08,2020-10-20,NCT02524197; NCT02524197; NCT02524197; NCT02524197; NCT02944448; NCT02944448; NCT02944448
"ARRY-371797, p38 inhibitor; oral",,Pfizer,1,PHASE2,COMPLETED,2011-06,2020-10-14,NCT01366014
"Oxycodone hydrochloride (HCl) extended release (ER), opioid agonist; oral",,Pfizer,1,PHASE2,COMPLETED,2011-06,2020-10-14,NCT01366014
AMZ001,,Amzell,1,"PHASE2,PHASE3",COMPLETED,2018-10-04,2020-10-06,NCT03691844
VX-150,,Vertex Pharmaceuticals Incorporated,1,PHASE2,COMPLETED,2015-12,2020-09-30,NCT02660424
COV795,,Mallinckrodt,1,PHASE3,COMPLETED,2011-09-20,2020-09-18,NCT01451385
OROS hydromorphone,OROS hydromorphone HCl,Janssen-Cilag International NV; Mallinckrodt,2,PHASE3,COMPLETED,2007-10,2020-09-16,NCT00980798; NCT00631319
PSC-01,,"Personalized Stem Cells, Inc.",1,PHASE1,UNKNOWN,2019-09-07,2020-09-16,NCT04043819
Chondrogen,,Meluha Life Sciences SDN BHD,1,PHASE2,UNKNOWN,2020-10-31,2020-08-20,NCT04520945
Human allogeneic mesenchymal bone marrow derived stem cells,,"Clinica Santa Clarita, Mexico",1,PHASE1,WITHDRAWN,2019-08,2020-07-15,NCT03602872
Sprifermin,,"EMD Serono Research & Development Institute, Inc.",1,PHASE2,COMPLETED,2013-07-29,2020-07-13,NCT01919164
Placenta-derived MMSCs,,Institute of Cell Therapy,1,"PHASE1,PHASE2",UNKNOWN,2020-01-02,2020-07-07,NCT04453111
Bone marrow-derived MMSCs,,Institute of Cell Therapy,1,"PHASE1,PHASE2",UNKNOWN,2020-01-02,2020-07-07,NCT04453111
Hyalgan 20 mg in 2 ML Prefilled Syringe,,Institute of Cell Therapy,1,"PHASE1,PHASE2",UNKNOWN,2020-01-02,2020-07-07,NCT04453111
APS,,Zimmer Biomet,2,PHASE1,COMPLETED,2014-11,2020-06-11,NCT02262364; NCT02580643
A-ECO,,Velico Medical,1,PHASE1,COMPLETED,2005-11,2020-05-27,NCT00261274
LY2828360,,Eli Lilly and Company,1,PHASE2,COMPLETED,2011-03,2020-05-19,NCT01319929
Test Article,,Pure Green,1,PHASE2,UNKNOWN,2020-04-20,2020-04-14,NCT04195269
JNJ-42160443,,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",7,PHASE2,TERMINATED,2009-09-16,2020-03-11,NCT01094262; NCT01094262; NCT00973141; NCT00973141; NCT00973141; NCT00973141; NCT00973141
Diclofenac Diethylamine (DDEA) gel,,GlaxoSmithKline,1,PHASE1,COMPLETED,2018-07-19,2020-02-24,NCT03497039
Type 2 collagen,,"TCI Co., Ltd.",1,NA,COMPLETED,2018-03-28,2020-02-12,NCT04267432
M6495,,"Merck KGaA, Darmstadt, Germany",2,PHASE1,COMPLETED,2017-09-04,2020-01-23,NCT03583346; NCT03224702
Ibuprofen Placebo Tab,,"Tianjin XinChen-Techfields Pharma Co., LTD.",1,PHASE2,COMPLETED,2018-07-16,2020-01-13,NCT03691818
X0002 Placebo Spray,,"Tianjin XinChen-Techfields Pharma Co., LTD.",1,PHASE2,COMPLETED,2018-07-16,2020-01-13,NCT03691818
Cobiprostone,,"Sucampo Pharma Americas, LLC",1,PHASE2,COMPLETED,2007-08,2019-12-26,NCT00597818
Non-steroidal anti-inflammatory drug,,"Sucampo Pharma Americas, LLC",1,PHASE2,COMPLETED,2007-08,2019-12-26,NCT00597818
RegStem,,EMO Biomedicine Corporation,1,PHASE1,COMPLETED,2017-08-01,2019-11-13,NCT03007576
Tapentadol PR,,Grünenthal GmbH,1,PHASE3,TERMINATED,2009-09,2019-10-18,NCT00982280
Low Dose of Mesenchymal stem cell,High Dose of Mesenchymal stem cell,"CAR-T (Shanghai) Biotechnology Co., Ltd.",2,EARLY_PHASE1,UNKNOWN,2019-04-04,2019-10-17,NCT04130100; NCT04130100
Glucosamine and chondroitin sulfate combination (Zodic),Glucosamine and chondroitin sulfate combination (Eurofarma),Eurofarma Laboratorios S.A.,2,PHASE3,COMPLETED,2016-12-05,2019-10-09,NCT02830919; NCT02830919
MK0966; rofecoxib,MK0966; rofecoxib / Duration of Treatment: 24 weeks,Merck Sharp & Dohme LLC,2,PHASE4,TERMINATED,2002-08-06,2019-09-20,NCT00140894; NCT00140920
LY2951742,,Eli Lilly and Company,1,PHASE2,TERMINATED,2014-07,2019-09-10,NCT02192190
ABT-981,,"AbbVie; AbbVie (prior sponsor, Abbott)",3,PHASE1; PHASE2,COMPLETED,2012-09,2019-08-28,NCT02087904; NCT01668511; NCT02384538
Stromal-vascular fraction,,Swiss Medica XXI Century S.A.,1,PHASE2,UNKNOWN,2019-08-21,2019-08-08,NCT04050111
Lavage with Platelet Poor Plasma (PPP),,"Regenexx, LLC",1,PHASE1,COMPLETED,2016-07,2019-07-17,NCT03120988
Enteron tab. 150mg(vitis vinifera extract 150mg) : twice daily for 12 weeks,,"Hanlim Pharm. Co., Ltd.",1,PHASE3,COMPLETED,2012-07-02,2019-07-02,NCT01768520
"Celebrex cap. (celecoxib 200mg) : once daily, for 12 weeks",,"Hanlim Pharm. Co., Ltd.",1,PHASE3,COMPLETED,2012-07-02,2019-07-02,NCT01768520
Gefapixant,,"Afferent Pharmaceuticals, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",1,PHASE2,COMPLETED,2012-03-29,2019-06-27,NCT01554579
Sugar Pill,,"Afferent Pharmaceuticals, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",1,PHASE2,COMPLETED,2012-03-29,2019-06-27,NCT01554579
MIV-711,,Medivir,2,PHASE2,COMPLETED,2016-01-28,2019-06-17,NCT03037489; NCT02705625
SMC021 Oral Calcitonin,,Nordic Bioscience A/S,1,PHASE3,COMPLETED,2007-05,2019-04-26,NCT00486434
SMC021 Placebo,,Nordic Bioscience A/S,1,PHASE3,COMPLETED,2007-05,2019-04-26,NCT00486434
Oral Salmon Calcitonin,Oral Salmon Calcitonin (Placebo); Oral salmon calcitonin,Nordic Bioscience A/S,3,PHASE1; PHASE3,COMPLETED; TERMINATED,2007-01,2019-04-24,NCT00486369; NCT00704847; NCT00704847
Level 2 Analgesic Treatments,,Sublimed,1,NA,UNKNOWN,2018-12-19,2019-04-04,NCT03902340
BI 1026706,,Boehringer Ingelheim,1,PHASE1,COMPLETED,2014-05-28,2019-03-25,NCT02126826
V120083,,Purdue Pharma LP,1,PHASE2,COMPLETED,2017-03-14,2019-02-12,NCT03028870
YH23537,,Yuhan Corporation,1,PHASE2,COMPLETED,2016-05-02,2019-01-16,NCT02759198
YH23537 placebo,,Yuhan Corporation,1,PHASE2,COMPLETED,2016-05-02,2019-01-16,NCT02759198
[Tc-99m]-RPI-T-087 Injection,,Reiley Pharmaceuticals Inc.,1,PHASE1,UNKNOWN,2018-08-16,2019-01-15,NCT03503825
AXS-02,,"Axsome Therapeutics, Inc.",1,PHASE3,UNKNOWN,2016-03,2019-01-10,NCT02746068
ReJoinTM,,Shanghai AbelZeta Ltd.,1,PHASE2,UNKNOWN,2014-07,2018-12-17,NCT02855073
valdecoxib,,Pfizer,5,PHASE2; PHASE3,COMPLETED,2003-06,2018-12-11,NCT00652808; NCT00650624; NCT00650624; NCT00650624; NCT00648258
CE-224535,,Pfizer,1,PHASE2,TERMINATED,2007-01,2018-12-05,NCT00418782
Transdermal Glucosamine Cream,,Lynk Biotechnologies Pte Ltd,1,PHASE4,COMPLETED,2016-05-18,2018-11-16,NCT03743896
Qutenza,,Centrexion Therapeutics,1,PHASE1,COMPLETED,2018-06-25,2018-11-14,NCT03576508
Lidoderm (Lidocaine 5% Patch),Lidocaine (without epinephrine),"Centrexion Therapeutics; Endo USA Inc., a Keenova Therapeutics Company",2,PHASE1; PHASE2,COMPLETED,2007-03,2018-11-14,NCT03576508; NCT00589979
Oxycodone naloxone prolonged release tablets (OXN),,Mundipharma Research GmbH & Co KG,1,PHASE3,COMPLETED,2009-05,2018-10-22,NCT00902837
oxycodone prolonged release tablet,,Mundipharma Research GmbH & Co KG,1,PHASE3,COMPLETED,2009-05,2018-10-22,NCT00902837
oxycodone naloxone tablet,Oxycodone/Naloxone,Mundipharma Research GmbH & Co KG; Napp Pharmaceuticals Limited,2,PHASE3; PHASE4,COMPLETED,2009-02,2018-10-22,NCT00902837; NCT00784810
EN3409,,BioDelivery Sciences International,1,PHASE3,COMPLETED,2012-12,2018-10-18,NCT01755546
mHACMb,,"Applied Biologics, LLC",1,PHASE2,UNKNOWN,2018-11,2018-09-28,NCT03441607
MSB-CAR001 Combined With Hyaluronan,,"Mesoblast, Ltd.",1,"PHASE1,PHASE2",COMPLETED,2009-03,2018-08-15,NCT01088191
Hyaluronan,,"Mesoblast, Ltd.; Pierre Fabre Medicament",2,"NA; PHASE1,PHASE2",COMPLETED; WITHDRAWN,2009-03,2018-08-15,NCT01088191; NCT01469507
