asset_name,name_variants_merged,sponsor(s),trial_count,phases_seen,statuses_seen,earliest_trial_start,most_recent_update,nct_ids
Piroxicam 0.5% (Brand name Pirofel® gel),,Taisho Pharmaceutical Indonesia,1,PHASE3,COMPLETED,2025-11-04,2026-03-16,NCT07475663
SYN321,,Synartro AB,1,"PHASE1,PHASE2",COMPLETED,2025-08-19,2026-03-06,NCT06989645
Arthroscopy with Mesenchymal Stem Cells + Secretome + Secretome,,PT. Prodia Stem Cell Indonesia,1,"PHASE1,PHASE2",COMPLETED,2020-08-03,2026-02-25,NCT04314661
Arthroscopy with Secretome + Mesenchymal Stem Cells + Secretome,,PT. Prodia Stem Cell Indonesia,1,"PHASE1,PHASE2",COMPLETED,2020-08-03,2026-02-25,NCT04314661
Non Arthroscopy with Mesenchymal Stem Cells + Secretome + Secretome,,PT. Prodia Stem Cell Indonesia,1,"PHASE1,PHASE2",COMPLETED,2020-08-03,2026-02-25,NCT04314661
Non Arthroscopy with Secretome + Mesenchymal Stem Cells + Secretome,,PT. Prodia Stem Cell Indonesia,1,"PHASE1,PHASE2",COMPLETED,2020-08-03,2026-02-25,NCT04314661
TPX-100 20mg,"TPX-100 100mg; TPX-100 200mg; TPX-100 200mg, Once weekly for 4 weeks; TPX-100 50mg","OrthoTrophix, Inc",5,PHASE2,ACTIVE_NOT_RECRUITING; COMPLETED,2014-01,2026-02-17,NCT01925261; NCT01925261; NCT01925261; NCT01925261; NCT06865079
Regen Matrix-PRP-XLHA,,RegenLab France SAS,1,NA,ACTIVE_NOT_RECRUITING,2023-08-21,2026-02-10,NCT05727371
LRX712,,Novartis Pharmaceuticals,2,PHASE1; PHASE2,COMPLETED,2017-11-20,2026-01-30,NCT04097379; NCT03355196
CARTISTEM®,,"Medipost, Inc.",1,"PHASE1,PHASE2",COMPLETED,2013-01-07,2026-01-29,NCT01733186
Synovian®,,"DALIM TISSEN Co., Ltd.; LG Chem",2,NA,COMPLETED; RECRUITING,2018-03-09,2026-01-20,NCT04369261; NCT07267793
Voltaren Gel,"Voltaren Topical Gel, 1%","Akorn, Inc.; Amneal Pharmaceuticals, LLC; HALEON",3,PHASE3; PHASE4,COMPLETED,2014-04,2026-01-20,NCT02121002; NCT06379893; NCT02913521
SAR446959,,Sanofi,1,PHASE1,COMPLETED,2024-11-20,2026-01-12,NCT06704932
MT-5547,,Tanabe Pharma Corporation,1,"PHASE2,PHASE3",COMPLETED,2017-09-08,2026-01-07,NCT03245008
"CYT-108, a recombinant protease inhibitor",,Cytonics Corporation,1,PHASE1,COMPLETED,2024-06-01,2025-12-26,NCT06263270
Mesenchymal Stem Cells,High dose mesenchymal stem cells; Low dose mesenchymal stem cells; Mesenchymal stem cells high-dose group; Mesenchymal stem cells low-dose group; Mesenchymal stem cells mid-dose group,"Sclnow Biotechnology Co., Ltd.; Shanghai AbelZeta Ltd.; Wuxi Cellular Biopharmaceutical Group Ltd.",6,"PHASE1,PHASE2; PHASE2; PHASE3",COMPLETED; RECRUITING,2013-03,2025-12-04,NCT06570291; NCT03383081; NCT03383081; NCT01809769; NCT01809769; NCT01809769
ELIXCYTE,Elixcyte 2 ml; Elixcyte 4 ml; Elixcyte 8 ml,UnicoCell Biomed CO. LTD,4,"PHASE1,PHASE2; PHASE3",ACTIVE_NOT_RECRUITING; COMPLETED,2016-03,2025-11-21,NCT05526001; NCT02784964; NCT02784964; NCT02784964
LEVI-04,,Levicept,2,PHASE1; PHASE2,COMPLETED,2017-07-28,2025-11-20,NCT05618782; NCT03227796
BBM-A101,,"Belief BioMed (Beijing) Co., Ltd",2,PHASE1,RECRUITING,2025-10-09,2025-11-18,NCT07198555; NCT07198555
semaglutide 2.4 mg,semaglutide 2.4 mg (placebo),Novo Nordisk A/S,2,PHASE3,COMPLETED,2021-10-01,2025-11-17,NCT05064735; NCT05064735
GSK3858279,GSK3858279 IV; GSK3858279 SC,GlaxoSmithKline,3,PHASE1; PHASE2,COMPLETED; TERMINATED,2018-05-17,2025-11-10,NCT05838742; NCT03485365; NCT03485365
IMM01-STEM,,"Immunis, Inc.",1,"PHASE1,PHASE2",RECRUITING,2022-09-13,2025-10-30,NCT05211986
Canakinumab,canakinumab,Novartis Pharmaceuticals,2,PHASE2,COMPLETED; TERMINATED,2010-04,2025-10-24,NCT04814368; NCT01160822
[StroMed + platelet rich plasma (PRP)],,"VivaTech International, Inc.",3,PHASE2,RECRUITING,2015-07,2025-10-14,NCT02844738; NCT02844751; NCT02844764
[PRP] platelet rich plasma,,"VivaTech International, Inc.",2,PHASE2,RECRUITING,2015-07,2025-10-14,NCT02844751; NCT02844751
Layla Tab.,,"Mather's Pharm. Co., Ltd.",1,PHASE4,NOT_YET_RECRUITING,2025-12,2025-10-02,NCT07203547
