form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
8-K,2023-09-27,2023-09-27,"8.01,9.01",0000950170-23-050039,https://www.sec.gov/Archives/edgar/data/1463361/000095017023050039/ubx-20230927.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017023050039/
8-K,2023-09-06,2023-09-06,1.02,0000950170-23-046715,https://www.sec.gov/Archives/edgar/data/1463361/000095017023046715/ubx-20230906.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017023046715/
10-Q,2023-08-08,2023-06-30,,0000950170-23-039784,https://www.sec.gov/Archives/edgar/data/1463361/000095017023039784/ubx-20230630.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017023039784/
8-K,2023-08-08,2023-08-08,"2.02,9.01",0000950170-23-039772,https://www.sec.gov/Archives/edgar/data/1463361/000095017023039772/ubx-20230809.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017023039772/
8-K,2023-06-23,2023-06-23,5.07,0000950170-23-029603,https://www.sec.gov/Archives/edgar/data/1463361/000095017023029603/ubx-20230623.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017023029603/
10-Q,2023-05-09,2023-03-31,,0000950170-23-019694,https://www.sec.gov/Archives/edgar/data/1463361/000095017023019694/ubx-20230331.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017023019694/
8-K,2023-05-09,2023-05-09,"2.02,9.01",0000950170-23-019658,https://www.sec.gov/Archives/edgar/data/1463361/000095017023019658/ubx-20230509.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017023019658/
8-K,2023-04-24,2023-04-24,"8.01,9.01",0000950170-23-013935,https://www.sec.gov/Archives/edgar/data/1463361/000095017023013935/ubx-20230424.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017023013935/
8-K,2023-04-11,2023-04-10,5.02,0000950170-23-012439,https://www.sec.gov/Archives/edgar/data/1463361/000095017023012439/ubx-20230410.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017023012439/
8-K,2023-03-27,2023-03-27,"8.01,9.01",0000950170-23-009847,https://www.sec.gov/Archives/edgar/data/1463361/000095017023009847/ubx-20230327.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017023009847/
8-K,2023-03-17,2023-03-17,"8.01,9.01",0001193125-23-074071,https://www.sec.gov/Archives/edgar/data/1463361/000119312523074071/d493524d8k.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312523074071/
424B5,2023-03-17,,,0001193125-23-074069,https://www.sec.gov/Archives/edgar/data/1463361/000119312523074069/d316737d424b5.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312523074069/
10-K,2023-03-15,2022-12-31,,0000950170-23-008171,https://www.sec.gov/Archives/edgar/data/1463361/000095017023008171/ubx-20221231.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017023008171/
8-K,2023-03-15,2023-03-15,"2.02,9.01",0000950170-23-008161,https://www.sec.gov/Archives/edgar/data/1463361/000095017023008161/ubx-20230315.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017023008161/
8-K,2023-03-13,2023-03-10,7.01,0001193125-23-067912,https://www.sec.gov/Archives/edgar/data/1463361/000119312523067912/d482844d8k.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312523067912/
10-Q,2022-11-08,2022-09-30,,0000950170-22-023223,https://www.sec.gov/Archives/edgar/data/1463361/000095017022023223/ubx-20220930.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017022023223/
8-K,2022-11-08,2022-11-08,"2.02,9.01",0000950170-22-023212,https://www.sec.gov/Archives/edgar/data/1463361/000095017022023212/ubx-20221108.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017022023212/
8-K,2022-11-01,2022-11-01,"8.01,9.01",0000950170-22-020696,https://www.sec.gov/Archives/edgar/data/1463361/000095017022020696/ubx-20221101.htm,https://www.sec.gov/Archives/edgar/data/1463361/000095017022020696/
424B5,2022-10-26,,,0001193125-22-268790,https://www.sec.gov/Archives/edgar/data/1463361/000119312522268790/d306843d424b5.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312522268790/
8-K,2022-10-19,2022-10-18,"3.03,5.03,5.07,8.01,9.01",0001193125-22-265359,https://www.sec.gov/Archives/edgar/data/1463361/000119312522265359/d400459d8k.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312522265359/
8-K,2022-08-22,2022-08-17,"8.01,9.01",0001193125-22-226463,https://www.sec.gov/Archives/edgar/data/1463361/000119312522226463/d583643d8k.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312522226463/
424B5,2022-08-19,,,0001193125-22-224689,https://www.sec.gov/Archives/edgar/data/1463361/000119312522224689/d372652d424b5.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312522224689/
8-K,2022-08-19,2022-08-17,"8.01,9.01",0001193125-22-224686,https://www.sec.gov/Archives/edgar/data/1463361/000119312522224686/d379448d8k.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312522224686/
424B5,2022-08-19,,,0001193125-22-224683,https://www.sec.gov/Archives/edgar/data/1463361/000119312522224683/d382055d424b5.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312522224683/
424B5,2022-08-16,,,0001193125-22-222433,https://www.sec.gov/Archives/edgar/data/1463361/000119312522222433/d372652d424b5.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312522222433/
8-K,2022-08-12,2022-08-12,"8.01,9.01",0001193125-22-219278,https://www.sec.gov/Archives/edgar/data/1463361/000119312522219278/d379677d8k.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312522219278/
8-K,2022-08-12,2022-08-12,"2.02,9.01",0001564590-22-029212,https://www.sec.gov/Archives/edgar/data/1463361/000156459022029212/ubx-8k_20220812.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459022029212/
10-Q,2022-08-12,2022-06-30,,0001564590-22-029209,https://www.sec.gov/Archives/edgar/data/1463361/000156459022029209/ubx-10q_20220630.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459022029209/
8-K,2022-07-05,2022-07-05,8.01,0001564590-22-025231,https://www.sec.gov/Archives/edgar/data/1463361/000156459022025231/ubx-8k_20220705.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459022025231/
8-K,2022-06-27,2022-06-24,5.07,0001564590-22-024300,https://www.sec.gov/Archives/edgar/data/1463361/000156459022024300/ubx-8k_20220624.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459022024300/
8-K,2022-06-07,2022-06-03,3.01,0001564590-22-022684,https://www.sec.gov/Archives/edgar/data/1463361/000156459022022684/ubx-8k_20220603.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459022022684/
8-K,2022-05-26,2022-05-25,"5.02,8.01,9.01",0001564590-22-021333,https://www.sec.gov/Archives/edgar/data/1463361/000156459022021333/ubx-8k_20220525.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459022021333/
424B5,2022-05-13,,,0001193125-22-150111,https://www.sec.gov/Archives/edgar/data/1463361/000119312522150111/d331223d424b5.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312522150111/
10-Q,2022-05-10,2022-03-31,,0001564590-22-019269,https://www.sec.gov/Archives/edgar/data/1463361/000156459022019269/ubx-10q_20220331.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459022019269/
8-K,2022-05-10,2022-05-10,"2.02,9.01",0001564590-22-019260,https://www.sec.gov/Archives/edgar/data/1463361/000156459022019260/ubx-8k_20220510.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459022019260/
8-K,2022-04-01,2022-03-31,5.02,0001564590-22-013226,https://www.sec.gov/Archives/edgar/data/1463361/000156459022013226/ubx-8k_20220331.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459022013226/
10-K,2022-03-15,2021-12-31,,0001564590-22-010232,https://www.sec.gov/Archives/edgar/data/1463361/000156459022010232/ubx-10k_20211231.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459022010232/
8-K,2022-03-15,2022-03-15,"2.02,9.01",0001564590-22-010229,https://www.sec.gov/Archives/edgar/data/1463361/000156459022010229/ubx-8k_20220315.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459022010229/
8-K,2022-02-03,2022-02-02,"2.05,9.01",0001564590-22-003817,https://www.sec.gov/Archives/edgar/data/1463361/000156459022003817/ubx-8k_20220202.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459022003817/
8-K,2021-12-20,2021-12-17,"8.01,9.01",0001564590-21-060674,https://www.sec.gov/Archives/edgar/data/1463361/000156459021060674/ubx-8k_20211217.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459021060674/
8-K,2021-12-15,2021-12-15,"1.01,9.01",0001564590-21-060428,https://www.sec.gov/Archives/edgar/data/1463361/000156459021060428/ubx-8k_20211215.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459021060428/
10-Q,2021-11-10,2021-09-30,,0001564590-21-055945,https://www.sec.gov/Archives/edgar/data/1463361/000156459021055945/ubx-10q_20210930.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459021055945/
8-K,2021-11-10,2021-11-10,"2.02,9.01",0001564590-21-055943,https://www.sec.gov/Archives/edgar/data/1463361/000156459021055943/ubx-8k_20211110.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459021055943/
8-K,2021-09-29,2021-09-29,"1.01,9.01",0001193125-21-286916,https://www.sec.gov/Archives/edgar/data/1463361/000119312521286916/d222119d8k.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312521286916/
424B5,2021-09-29,,,0001193125-21-286907,https://www.sec.gov/Archives/edgar/data/1463361/000119312521286907/d236126d424b5.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312521286907/
10-Q,2021-08-10,2021-06-30,,0001564590-21-043101,https://www.sec.gov/Archives/edgar/data/1463361/000156459021043101/ubx-10q_20210630.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459021043101/
8-K,2021-08-10,2021-08-10,"2.02,9.01",0001564590-21-043068,https://www.sec.gov/Archives/edgar/data/1463361/000156459021043068/ubx-8k_20210810.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459021043068/
8-K,2021-07-06,2021-07-06,"8.01,9.01",0001564590-21-035796,https://www.sec.gov/Archives/edgar/data/1463361/000156459021035796/ubx-8k_20210706.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459021035796/
8-K,2021-06-24,2021-06-24,5.07,0001564590-21-034287,https://www.sec.gov/Archives/edgar/data/1463361/000156459021034287/ubx-8k_20210624.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459021034287/
10-Q,2021-05-11,2021-03-31,,0001564590-21-026302,https://www.sec.gov/Archives/edgar/data/1463361/000156459021026302/ubx-10q_20210331.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459021026302/
8-K,2021-05-11,2021-05-11,"2.02,9.01",0001564590-21-026300,https://www.sec.gov/Archives/edgar/data/1463361/000156459021026300/ubx-8k_20210511.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459021026300/
10-K,2021-03-23,2020-12-31,,0001564590-21-014854,https://www.sec.gov/Archives/edgar/data/1463361/000156459021014854/ubx-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459021014854/
8-K,2021-03-23,2021-03-23,"2.02,9.01",0001564590-21-014850,https://www.sec.gov/Archives/edgar/data/1463361/000156459021014850/ubx-8k_20210323.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459021014850/
8-K,2020-12-14,2020-12-09,"5.02,8.01,9.01",0001193125-20-316969,https://www.sec.gov/Archives/edgar/data/1463361/000119312520316969/d62670d8k.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312520316969/
10-Q,2020-11-04,2020-09-30,,0001564590-20-050497,https://www.sec.gov/Archives/edgar/data/1463361/000156459020050497/ubx-10q_20200930.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459020050497/
8-K,2020-11-04,2020-11-04,"2.02,9.01",0001564590-20-050461,https://www.sec.gov/Archives/edgar/data/1463361/000156459020050461/ubx-8k_20201104.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459020050461/
8-K,2020-09-24,2020-09-21,5.02,0001193125-20-253423,https://www.sec.gov/Archives/edgar/data/1463361/000119312520253423/d77083d8k.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312520253423/
8-K,2020-09-16,2020-09-10,"2.05,5.02,9.01",0001193125-20-247236,https://www.sec.gov/Archives/edgar/data/1463361/000119312520247236/d899293d8k.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312520247236/
8-K,2020-08-31,2020-08-28,5.02,0001193125-20-236397,https://www.sec.gov/Archives/edgar/data/1463361/000119312520236397/d91302d8k.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312520236397/
8-K,2020-08-17,2020-08-17,"8.01,9.01",0001193125-20-222493,https://www.sec.gov/Archives/edgar/data/1463361/000119312520222493/d28349d8k.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312520222493/
8-K,2020-08-04,2020-08-03,"1.01,2.03,7.01,9.01",0001193125-20-209313,https://www.sec.gov/Archives/edgar/data/1463361/000119312520209313/d943976d8k.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312520209313/
424B5,2020-07-31,,,0001193125-20-205400,https://www.sec.gov/Archives/edgar/data/1463361/000119312520205400/d86835d424b5.htm,https://www.sec.gov/Archives/edgar/data/1463361/000119312520205400/
10-Q,2020-07-31,2020-06-30,,0001564590-20-035035,https://www.sec.gov/Archives/edgar/data/1463361/000156459020035035/ubx-10q_20200630.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459020035035/
8-K,2020-07-31,2020-07-31,"2.02,9.01",0001564590-20-035033,https://www.sec.gov/Archives/edgar/data/1463361/000156459020035033/ubx-8k_20200731.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459020035033/
8-K,2020-07-06,2020-07-01,5.02,0001564590-20-031851,https://www.sec.gov/Archives/edgar/data/1463361/000156459020031851/ubx-8k_20200701.htm,https://www.sec.gov/Archives/edgar/data/1463361/000156459020031851/
