form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
8-K,2023-06-08,2023-06-06,5.07,0001104659-23-069458,https://www.sec.gov/Archives/edgar/data/1821825/000110465923069458/tm2318288d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465923069458/
10-Q,2023-05-05,2023-03-31,,0001821825-23-000006,https://www.sec.gov/Archives/edgar/data/1821825/000182182523000006/ogn-20230331.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182523000006/
8-K,2023-05-04,2023-05-04,"2.02,7.01,9.01",0001104659-23-055788,https://www.sec.gov/Archives/edgar/data/1821825/000110465923055788/tm2314412d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465923055788/
10-K,2023-02-27,2022-12-31,,0001821825-23-000003,https://www.sec.gov/Archives/edgar/data/1821825/000182182523000003/ogn-20221231.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182523000003/
8-K,2023-02-16,2023-02-16,"2.02,7.01,9.01",0001104659-23-022617,https://www.sec.gov/Archives/edgar/data/1821825/000110465923022617/tm234187d2_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465923022617/
8-K,2022-12-09,2022-12-06,"3.03,5.03,9.01",0001104659-22-125576,https://www.sec.gov/Archives/edgar/data/1821825/000110465922125576/tm2232289d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465922125576/
10-Q,2022-11-04,2022-09-30,,0001821825-22-000012,https://www.sec.gov/Archives/edgar/data/1821825/000182182522000012/ogn-20220930.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182522000012/
8-K,2022-11-03,2022-11-03,"2.02,7.01,9.01",0001104659-22-114226,https://www.sec.gov/Archives/edgar/data/1821825/000110465922114226/tm2229543d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465922114226/
10-Q,2022-08-05,2022-06-30,,0001821825-22-000009,https://www.sec.gov/Archives/edgar/data/1821825/000182182522000009/ogn-20220630.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182522000009/
8-K,2022-08-04,2022-08-04,"2.02,7.01,9.01",0001104659-22-085887,https://www.sec.gov/Archives/edgar/data/1821825/000110465922085887/tm2222382d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465922085887/
8-K,2022-07-12,2022-07-07,5.02,0001104659-22-078988,https://www.sec.gov/Archives/edgar/data/1821825/000110465922078988/tm2220801d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465922078988/
8-K,2022-06-08,2022-06-07,5.07,0001104659-22-069394,https://www.sec.gov/Archives/edgar/data/1821825/000110465922069394/tm2218039d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465922069394/
8-K,2022-05-06,2022-05-05,"7.01,9.01",0001104659-22-056906,https://www.sec.gov/Archives/edgar/data/1821825/000110465922056906/tm2214364d2_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465922056906/
10-Q,2022-05-06,2022-03-31,,0001821825-22-000006,https://www.sec.gov/Archives/edgar/data/1821825/000182182522000006/ogn-20220331.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182522000006/
8-K,2022-05-05,2022-05-05,"2.02,7.01,9.01",0001104659-22-056278,https://www.sec.gov/Archives/edgar/data/1821825/000110465922056278/tm2214364d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465922056278/
10-K,2022-03-21,2021-12-31,,0001821825-22-000002,https://www.sec.gov/Archives/edgar/data/1821825/000182182522000002/ogn-20211231.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182522000002/
8-K,2022-02-17,2022-02-17,"2.02,7.01,9.01",0001104659-22-024496,https://www.sec.gov/Archives/edgar/data/1821825/000110465922024496/tm227000d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465922024496/
10-Q,2021-11-12,2021-09-30,,0001628280-21-023199,https://www.sec.gov/Archives/edgar/data/1821825/000162828021023199/ogn-20210930.htm,https://www.sec.gov/Archives/edgar/data/1821825/000162828021023199/
8-K,2021-11-12,2021-11-11,"2.02,7.01,9.01",0001104659-21-137472,https://www.sec.gov/Archives/edgar/data/1821825/000110465921137472/tm2131080d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465921137472/
10-Q,2021-08-16,2021-06-30,,0001821825-21-000009,https://www.sec.gov/Archives/edgar/data/1821825/000182182521000009/ogn-20210630.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182521000009/
8-K,2021-08-12,2021-08-12,"2.02,7.01,9.01",0001104659-21-103773,https://www.sec.gov/Archives/edgar/data/1821825/000110465921103773/tm2124441d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465921103773/
8-K,2021-06-29,2021-06-29,"7.01,9.01",0001104659-21-086583,https://www.sec.gov/Archives/edgar/data/1821825/000110465921086583/tm2120857d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465921086583/
10-Q,2021-06-21,2021-03-31,,0001821825-21-000005,https://www.sec.gov/Archives/edgar/data/1821825/000182182521000005/ogn-20210331.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182521000005/
8-K,2021-06-03,2021-06-02,"1.01,2.01,2.03,3.03,5.02,5.03,5.05,7.01,9.01",0001193125-21-180652,https://www.sec.gov/Archives/edgar/data/1821825/000119312521180652/d49288d8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000119312521180652/
