form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
6-K,2024-10-29,2024-09-30,,0001370368-24-000022,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000022/a241029-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000022/
6-K,2024-09-18,2024-09-18,,0001104659-24-100991,https://www.sec.gov/Archives/edgar/data/1114448/000110465924100991/tm2423681d8_6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000110465924100991/
424B5,2024-09-17,,,0001104659-24-100712,https://www.sec.gov/Archives/edgar/data/1114448/000110465924100712/tm2423681-5_424b5.htm,https://www.sec.gov/Archives/edgar/data/1114448/000110465924100712/
6-K,2024-09-17,2024-09-17,,0001171843-24-005228,https://www.sec.gov/Archives/edgar/data/1114448/000117184324005228/f6k_091724.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184324005228/
424B5,2024-09-16,,,0001104659-24-100040,https://www.sec.gov/Archives/edgar/data/1114448/000110465924100040/tm2423681-4_424b5.htm,https://www.sec.gov/Archives/edgar/data/1114448/000110465924100040/
6-K,2024-08-08,2024-08-07,,0001171843-24-004539,https://www.sec.gov/Archives/edgar/data/1114448/000117184324004539/f6k_080724.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184324004539/
6-K,2024-07-18,2024-06-30,,0001370368-24-000019,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000019/nvs-20240630.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000019/
6-K,2024-04-23,2024-03-31,,0001370368-24-000017,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000017/a240423-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000017/
6-K,2024-01-31,2023-12-31,,0001370368-24-000008,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000008/a240131nisar-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000008/
6-K,2024-01-31,2023-12-31,,0001370368-24-000007,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000007/a240131-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000007/
