form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
8-K,2022-02-24,2022-02-24,"2.02,9.01",0001396814-22-000018,https://www.sec.gov/Archives/edgar/data/1396814/000139681422000018/pcrx-20220224.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681422000018/
8-K,2022-02-15,2022-02-15,"2.02,9.01",0001396814-22-000012,https://www.sec.gov/Archives/edgar/data/1396814/000139681422000012/pcrx-20220215.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681422000012/
8-K,2022-01-06,2022-01-06,"2.02,9.01",0001396814-22-000004,https://www.sec.gov/Archives/edgar/data/1396814/000139681422000004/pcrx-20220106.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681422000004/
8-K,2021-12-09,2021-12-06,"1.01,2.03,8.01,9.01",0001104659-21-147891,https://www.sec.gov/Archives/edgar/data/1396814/000110465921147891/tm2134794d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465921147891/
8-K,2021-12-07,2021-12-07,"2.02,9.01",0001396814-21-000069,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000069/pcrx-20211207.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000069/
8-K,2021-11-19,2021-11-19,"1.01,2.01,8.01,9.01",0001104659-21-141652,https://www.sec.gov/Archives/edgar/data/1396814/000110465921141652/tm2129703d9_8k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465921141652/
8-K,2021-11-09,2021-11-09,"2.02,9.01",0001396814-21-000066,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000066/pcrx-20211109.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000066/
10-Q,2021-11-03,2021-09-30,,0001396814-21-000063,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000063/pcrx-20210930.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000063/
8-K,2021-11-03,2021-11-03,"2.02,9.01",0001396814-21-000061,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000061/pcrx-20211103.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000061/
8-K,2021-10-12,2021-10-11,"1.01,2.02,7.01,9.01",0001104659-21-124889,https://www.sec.gov/Archives/edgar/data/1396814/000110465921124889/tm2129703d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465921124889/
8-K,2021-09-15,2021-09-15,"2.02,9.01",0001396814-21-000055,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000055/pcrx-20210915.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000055/
8-K,2021-08-10,2021-08-10,"2.02,9.01",0001396814-21-000052,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000052/pcrx-20210810.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000052/
10-Q,2021-08-03,2021-06-30,,0001396814-21-000050,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000050/pcrx-20210630.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000050/
